ID_REF	leaf1	leaf2	protoplast1	protoplast2
265337_at	113.4175432	143.4217484	310.4958122	269.6679019
265338_at	100.1896729	82.60286982	70.82957595	66.83491185
265339_at	685.3038587	1018.987049	48.13018288	59.04774255
265340_at	55.88193221	35.73386351	564.4766133	503.6473105
265341_at	12.01404444	12.90045459	11.75147545	13.48608789
265342_at	580.1933702	735.6674756	19.73986201	15.19937399
265343_at	73.61817089	66.15966388	123.5216398	118.8361532
265344_at	280.7670841	315.2756633	391.1884596	355.8930625
265345_at	10.93279218	11.19490205	26.33573831	23.15994625
265346_at	19.90887783	19.90887783	18.19941283	18.94598182
265347_at	167.6722349	145.8134509	96.82985306	96.65148542
265348_at	12.67382417	12.05441723	9.853047417	12.3905644
265349_at	11.2965474	12.00705137	10.90501614	10.46499705
265350_at	8.16175837	8.246203131	8.246203131	7.911657651
265351_at	8.996288953	8.863705819	8.786813055	7.390080092
265352_at	1780.664494	1467.251024	1402.708971	1333.220786
265353_at	462.3655182	424.41446	295.8393193	258.0291056
265354_at	252.159016	204.59116	579.1767986	540.331133
265355_at	18.35053221	16.94843315	17.71647895	15.35365254
265356_at	11.66803731	13.66203038	21.50812714	25.28377541
265357_at	685.8550993	698.0081155	61.19576878	90.36799445
265358_at	179.2339345	231.1971815	443.244832	387.6229014
265359_at	52.99263645	43.82675627	1740.396132	2000.437722
265360_s_at	11.12219784	10.47297926	10.20482827	10.31248417
265361_at	9.584279626	9.584279626	8.929998915	9.584279626
265362_at	11.41437531	13.30327918	12.43944315	11.8992604
265363_at	9.404296336	9.404296336	9.926739959	9.404296336
265364_at	9.926739959	9.173867052	9.151574653	9.366175039
265365_at	7.439728636	7.45609375	7.45609375	7.758780973
265366_at	55.45478324	54.98781288	50.44711987	43.55601316
265367_at	9.538814653	9.708106936	9.788854199	9.788854199
265368_at	12.0618559	11.32021929	10.99251808	11.32021929
265369_s_at	18.48162876	18.32422147	17.89680313	17.24588189
265370_s_at	9.415971802	9.173867052	9.366564576	9.511481029
265371_at	8.303962911	8.303962911	8.303962911	7.678369566
265372_at	11.42561565	9.953955932	10.33602816	11.24927407
265373_at	9.224559373	11.26847204	41.54577891	38.15182063
265374_at	7104.414296	6606.635338	885.3720377	671.0795575
265375_at	459.3086044	436.3705714	1096.735563	1043.77859
265376_at	21.99463874	21.99463874	21.50678544	21.99463874
265377_at	752.005811	774.4670231	55.26828727	52.47178632
265378_at	14.09527773	13.35992497	12.75012954	12.49336323
265379_at	10.1473422	9.361631645	12.79625729	12.43220247
265380_at	13.10767589	15.07974367	13.93286458	14.20916626
265381_at	30.36821066	27.90864159	23.54861001	29.51916484
265382_at	75.47149775	67.03348338	313.6017935	299.5203052
265383_at	29.222344	29.55233048	34.76683905	36.25253561
265384_at	279.9916513	210.5632716	606.5782676	628.40463
265385_at	148.2697008	130.4678021	804.3335009	832.3751011
265386_at	417.1377302	363.9382811	155.3243277	157.5504429
265387_at	643.7559271	546.1562723	1100.009296	1086.445432
265388_s_at	700.6985012	657.5195589	519.5468358	513.8986315
265389_at	539.3918825	363.1218668	331.1313971	287.1498504
265390_at	1372.318844	1229.026238	974.1904296	1055.565216
265391_at	146.7259257	132.4578926	149.7217494	160.2221725
265392_at	1187.161092	1013.0713	1054.175973	951.922294
265393_at	222.2408173	159.0426621	261.1509244	291.8877794
265394_at	429.2308619	486.7104701	149.0569671	141.0115964
265395_at	12.04431133	15.51326016	12.04431133	11.30586915
265396_at	25.52395517	22.64499004	21.17617328	22.72738826
265397_at	9.173867052	9.173867052	10.19931248	8.966904297
265398_at	218.3834929	223.5602681	177.6433657	192.7503941
265399_at	18.95938156	17.45332497	17.86061682	16.9087722
265400_at	2557.112645	2656.47975	193.549665	121.0366372
265401_at	15.09082737	11.42339837	13.09341934	11.50341253
265402_at	284.1521852	283.3634751	362.3449557	328.525148
265403_at	16.56274626	16.89213761	17.97437872	17.83785207
265404_at	9.795709567	9.966935554	9.847312212	9.847312212
265405_at	71.17506498	79.54669027	12.05558705	11.92700577
265406_at	7.620522926	7.620522926	7.429834114	7.788362316
265407_at	9.512338139	8.251120212	9.512338139	9.259151549
265408_at	7.701502867	7.12139561	7.294959659	7.4405022
265409_at	10.29013497	10.92067405	11.43322103	12.21726966
265410_at	8.775370269	8.207483816	8.22873122	8.0343427
265411_at	99.29849866	102.7261734	32.37638489	28.25785397
265412_at	98.75144817	114.0553254	88.65376521	88.65376521
265413_s_at	70.11202506	81.82614613	319.1785743	267.3266763
265414_at	169.3765102	134.7218458	558.4560747	535.1761449
265415_at	4224.895669	4196.875642	433.9605237	426.2659477
265416_at	199.5823041	210.1622877	130.2843514	117.8877498
265417_at	1808.151692	1659.577169	2437.860739	2733.057316
265418_at	31.31517422	36.93354913	82.76621055	76.16783585
265419_at	155.3997099	157.7766609	92.76701404	98.00816234
265420_s_at	9.964794132	10.711733	12.57494339	13.19610265
265421_s_at	8.363518464	9.581290599	8.528724514	8.964915594
265422_at	24.59255971	28.80125954	34.64847619	27.84622779
265423_at	64.11366605	91.76931921	40.969262	39.13615181
265424_at	30.14297693	24.77683493	181.7787818	200.9677228
265425_at	24.74868559	25.77356144	64.31797143	67.96640923
265426_at	293.0473539	328.6549719	387.0081129	401.0226742
265427_at	98.60780923	136.2932213	217.0193692	213.2837143
265428_at	56.64159553	37.86177126	341.2487615	368.9649594
265429_at	16.86534587	20.00113548	17.07566667	16.56848746
265430_at	25.52395517	23.34173668	16.5868727	20.39127387
265431_at	54.16128264	43.64909994	23.25388725	18.14436925
265432_at	48.13351913	47.62179184	26.28704375	32.26794954
265433_at	23.22328251	27.85645948	36.58220167	33.13054429
265434_at	8.166681705	8.166681705	8.111450938	8.166681705
265435_s_at	12.80974632	12.3905644	11.73275572	11.0377943
265436_at	8.775370269	8.775370269	8.679067233	7.46835238
265437_at	29.20614418	23.94363025	17.555729	18.42956355
265438_at	8.733500375	8.325575494	11.77561089	10.99251808
265439_at	11.57347338	12.00056146	10.95069098	13.37530607
265440_at	134.3721178	135.6269434	661.7672105	590.0158905
265441_at	24.73462291	20.81483187	18.47445628	22.15453283
265442_at	51.96181791	42.04434894	299.2152715	251.9877865
265443_at	52.77709362	52.84298284	14.30343748	14.4365089
265444_s_at	1925.476767	1885.851028	234.7530351	225.8967963
