	GSM388810	GSM388811	GSM388812	GSM388813	GSM388814	GSM388815	GSM388816
252144_at	4.20577	4.10082	3.83964	4.10082	4.10082	4.10424	4.06683
252145_at	3.16485	3.12233	3.05255	3.16485	3.13788	3.25754	3.17068
252146_at	3.07695	2.9213	2.98473	3.04768	2.9213	2.89287	2.8778
252147_at	5.88398	5.71035	6.035	5.7572	5.91385	5.69094	5.88398
252148_at	4.03904	4.27932	3.91511	3.99973	4.04971	4.08182	3.86511
252149_at	2.88604	2.92542	2.97374	2.92542	2.9664	2.76466	3.00788
252150_at	7.655	8.49246	7.79799	7.87656	7.47973	8.3976	7.89858
252151_at	5.22728	5.42386	4.91387	5.57207	4.82579	5.4343	5.22728
252152_at	3.49338	3.72513	3.30806	3.83619	3.55892	3.82451	3.52104
252153_at	3.31132	3.39136	3.30695	3.31132	3.31132	3.34949	3.27157
252154_at	6.08252	5.73363	6.67056	4.64319	6.08252	5.61727	6.60071
252155_at	5.55092	6.82119	5.88594	7.2476	6.00753	6.78616	6.21028
252156_at	3.54626	3.18615	3.26745	3.20143	3.41784	3.21306	3.26745
252157_at	5.55903	6.03537	5.5559	5.55903	4.97969	5.90925	5.64465
252158_at	6.26229	9.36874	6.84067	9.00203	5.99705	9.27479	6.86198
252159_at	5.05076	4.75306	4.80624	4.21533	4.75306	4.41659	4.74387
252160_at	3.72269	3.52472	3.46207	3.67244	3.58067	3.6309	3.10987
252161_at	3.74043	3.41251	3.73855	3.61925	3.64814	3.63776	3.46327
252162_at	5.59959	5.64129	6.20189	5.31151	5.58647	5.51451	5.66369
252163_at	3.31837	3.05853	3.39831	3.09668	3.27333	3.23256	3.39304
252164_at	4.41117	4.81875	4.50495	4.85918	4.32016	5.02861	4.39796
252165_at	5.0624	5.03784	4.61497	5.61727	5.4139	5.33253	4.83419
252166_at	10.1879	6.57946	8.82346	7.50177	9.66839	6.86074	8.80768
252167_at	4.35737	6.51631	3.87005	5.57789	4.23693	6.74952	3.91918
252168_at	6.62076	6.93355	5.66062	7.65572	6.78651	6.67532	5.67205
252169_at	6.52663	6.67072	6.67072	6.67072	6.33128	6.79507	6.70132
252170_at	4.99744	3.73371	3.50266	7.64237	4.97481	3.83769	3.81199
252171_at	8.20068	8.51944	8.58923	8.01421	7.77201	8.41505	8.32456
252172_at	3.72195	3.69228	3.82604	3.62959	3.80225	3.69228	3.63623
252173_at	5.32953	4.20755	5.19222	4.31503	5.40818	4.44022	5.32771
252174_at	7.655	7.4471	7.57199	7.38268	7.64045	7.65711	7.60654
252175_at	6.31791	4.09188	5.59367	4.2611	5.82072	3.65359	5.74622
252176_at	3.96692	3.85187	3.85187	3.72164	3.86487	3.71085	3.68549
252177_at	4.46715	4.40535	4.26222	4.04784	4.43681	4.22166	4.14095
252178_at	4.62466	8.09971	5.54619	8.16005	4.93967	8.25241	5.7071
252179_at	5.21694	5.48331	7.94722	5.36142	5.51209	5.52295	7.79708
252180_at	5.12846	6.45992	5.10955	6.56717	5.30191	6.31848	5.21786
