	fibroblast1	fibroblast2	iPS1	iPS2
1557822_at	15.97235284	14.24887763	15.59473468	16.16218797
1557823_s_at	8.248732541	9.079860062	8.211853495	6.676130182
1557825_at	16.77878225	20.32681516	21.59885931	14.11989043
1557826_at	14.58063772	28.58756506	15.85372049	13.79686106
1557827_at	13.06702056	20.73427308	13.56636768	12.31713495
1557828_a_at	44.2890999	41.61601245	67.29969824	44.85430895
1557829_at	11.87428759	13.5106962	10.2534324	11.52332308
1557830_at	42.03467108	29.17175543	61.06850638	75.94920046
1557832_at	6.741002228	6.108097842	6.409893817	6.957750525
1557833_at	10.14052699	9.284151114	9.679934799	7.992114161
1557835_at	27.11854686	27.91349082	20.86516779	14.96361203
1557836_at	18.10961949	14.32868897	17.31561733	9.723590851
1557837_a_at	20.72131306	16.47320492	41.95441703	11.53365572
1557838_at	9.745970232	9.571045731	9.865555438	7.53375432
1557840_at	20.37819196	24.17282354	15.92372236	17.29175545
1557841_at	7.300712732	7.852141711	7.193870275	8.182572778
1557842_at	11.31581554	9.324319483	12.48814598	9.260984236
1557843_at	7.278687163	9.006140084	8.327173607	8.3203997
1557845_at	12.31453984	13.93083475	27.26283414	21.95009059
1557848_at	26.0456193	20.35047688	16.48743663	20.72679029
1557849_at	8.886021636	9.311577742	7.904740648	8.642728011
1557850_at	27.28554397	22.6547569	19.47148523	23.25754486
1557852_at	210.8561195	72.43752571	22.05713814	19.21030289
1557856_at	9.210437956	8.876754119	9.796731223	8.783425259
1557857_a_at	12.78320759	10.46098331	17.54559691	12.41823779
1557861_at	18.50357826	17.62816723	16.34995803	17.99030867
1557862_at	14.87564465	15.97132588	13.62180128	15.13362104
1557863_at	14.27952204	14.32083502	10.87761529	15.13735555
1557864_x_at	14.81404057	14.23232887	13.39164769	12.50953454
1557865_at	9.931736523	12.07569445	20.35918709	14.52988954
1557866_at	52.75421815	69.64113201	60.5608248	73.68436679
1557867_s_at	102.6976042	153.5215497	88.95974299	156.4658736
1557869_at	14.80603534	13.77412097	10.2072198	10.04718114
1557871_at	8.164384515	11.09254118	7.046103687	7.128130176
1557873_at	15.09251528	16.63225419	20.52545391	18.45135213
1557874_at	6.894428565	7.632222741	7.123448699	6.348587488
1557875_at	18.24722644	18.68334087	15.92499928	17.70144444
1557876_at	7.960154513	11.66221782	7.302384194	7.648138657
1557877_s_at	8.978257476	11.98226896	9.861490295	8.318297954
1557878_at	12.51926583	14.40193592	11.9050874	9.275595122
1557879_at	27.23499181	25.00500747	21.23456111	21.3013966
1557880_at	16.62392248	13.6228096	34.48082975	18.55760883
1557881_at	11.52719356	10.80617723	11.47052106	12.30924275
1557882_at	8.397736636	8.370572765	6.126290032	10.49902237
1557883_a_at	6.155767816	6.52255815	5.943148641	5.402001989
1557885_at	12.40487466	12.41063168	13.70594664	22.38119934
1557886_at	15.29698	17.95757453	14.14672497	11.61900305
1557888_at	27.94146286	19.09811721	20.39859037	26.56969434
1557889_at	24.34738374	28.74417445	49.13097829	27.06801397
1557890_at	12.67633606	21.52826684	15.53424817	10.86092023
1557891_s_at	13.52733973	36.42714547	9.367719932	12.29279965
1557892_at	19.99757251	18.22970756	12.51293829	15.43799719
1557893_a_at	21.01597441	22.3189221	21.13562036	17.70423084
1557895_at	13.00891997	10.27745814	11.80000499	9.008204949
1557896_at	23.21252837	14.29327976	12.3000478	23.46162818
1557897_at	38.45896376	17.55870301	64.07817349	38.35199755
1557898_at	8.684680742	8.909495898	9.204572537	7.092553313
1557900_at	39.86183114	15.22081232	15.93832464	15.78047668
1557905_s_at	4568.919695	5518.631656	58.92904663	108.8223423
1557906_at	22.93738442	23.7715009	15.60910986	17.956576
1557907_x_at	51.04775978	32.08325842	28.3612416	36.21496249
1557908_at	24.87999898	17.2320361	30.78924996	22.31693444
1557910_at	4008.468384	3556.531953	4381.413496	4144.566138
1557914_s_at	10.58189972	11.76604268	8.746544078	9.459858271
1557915_s_at	3655.476901	6445.289252	1305.172012	1492.257449
1557918_s_at	71.23074533	76.64271548	227.2145082	171.9172976
1557919_a_at	23.54766614	38.32987271	22.66281158	25.13001041
1557921_s_at	9.388120907	7.668507684	6.702363409	7.092012308
1557924_s_at	20.54369737	17.85433582	36.76095673	66.40306002
1557938_s_at	2922.672436	2072.456608	81.97211279	110.1318238
1557943_at	204.126377	196.9187406	137.5426678	103.2744022
1557944_s_at	641.6207264	478.2967178	290.7424147	299.3402015
1557945_at	185.4978896	125.1865245	540.9490781	258.9687529
1557948_at	30.017738	31.00032547	25.75847158	22.9672494
1557950_at	240.9738533	294.1789406	361.8855404	244.6439674
1557953_at	374.3790765	379.9973106	145.6955962	94.72963161
1557954_at	176.2839471	146.717119	450.1567233	616.9425697
1557961_s_at	176.5375259	189.4745928	247.2961678	235.9487402
1557963_at	37.06837614	29.99334025	31.24368766	33.04149549
1557964_at	76.42842393	85.7454771	59.6927423	69.82790103
1557965_at	758.4626934	988.2429165	814.6557457	1249.162647
1557966_x_at	699.8364951	870.9094477	703.3010412	1126.021446
1557970_s_at	27.68677894	34.91130001	27.95374257	35.13967816
1557981_at	54.35698339	58.58274468	36.07738434	40.24597239
1557984_s_at	357.6755922	417.6076549	381.4178387	332.3144305
1557985_s_at	222.9777199	199.3092062	458.3040854	339.8263289
1557986_s_at	46.89685491	57.51828432	28.8090626	22.78919304
1557987_at	53.02017247	37.71194998	134.6311634	133.7116762
1557991_at	28.20444031	38.36106355	23.37058566	36.56743036
1557993_at	11.0549431	9.212865781	9.490608723	10.38572909
1557994_at	17.33025525	19.31494311	40.21649287	24.47276021
1557996_at	335.5577327	227.1099949	533.0291085	348.1440614
1557998_at	45.54863557	69.64070954	13.95598111	14.47127347
1558000_at	84.90551227	49.14976665	13.99591132	21.46315769
1558001_s_at	38.47066148	32.68611734	20.21985469	21.83074715
1558002_at	80.7536288	59.09131404	135.724432	95.09143846
1558007_s_at	12.16310432	13.63304313	23.9710686	53.54214908
1558009_at	7.770812835	9.148425563	6.511623636	8.652581312
1558010_s_at	6.759452339	8.115948019	6.895224309	7.283642198
1558011_at	207.7879	150.3925654	952.8253787	570.5928905
1558014_s_at	207.4620267	304.0893985	99.34660537	81.60813396
1558015_s_at	431.2270422	446.4613262	85.24943096	91.3122514
1558017_s_at	122.4002827	56.4132303	203.0451945	171.8524095
1558019_at	109.5356333	116.5779825	49.06400068	45.71245151
